id,usage,theme,state,base_token,derived_token,delta_l_min,delta_l_max,delta_c_min,delta_c_max,delta_h_max,contrast_foreground_token,contrast_background_token,contrast_threshold,check_type,source,target
A_base_status.warning_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.status.warning
A_base_status.critical_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.status.critical
A_base_status.neutral_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/base.json,color.brand.A.status.neutral
A_base_gamut,,,,,,,,,,,,,,gamut,packages/tokens/src/tokens/brands/A/base.json,color.brand.A
A_dark_surface.interactive.primary_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.surface.interactive.primary
A_dark_accent_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.accent
A_dark_status.info_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.status.info
A_dark_status.success_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.status.success
A_dark_status.warning_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.status.warning
A_dark_status.critical_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.status.critical
A_dark_status.neutral_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A.status.neutral
A_dark_gamut,,,,,,,,,,,,,,gamut,packages/tokens/src/tokens/brands/A/dark.json,color.brand.A
A_dark_sequential,,,,,,,,,,,,,,dark-coverage,packages/tokens/src/tokens/brands/A/dark.json,viz.scale.sequential.01|viz.scale.sequential.02|viz.scale.sequential.03|viz.scale.sequential.04|viz.scale.sequential.05|viz.scale.sequential.06|viz.scale.sequential.07|viz.scale.sequential.08|viz.scale.sequential.09
A_dark_diverging,,,,,,,,,,,,,,dark-coverage,packages/tokens/src/tokens/brands/A/dark.json,viz.scale.diverging.neg-05|viz.scale.diverging.neg-04|viz.scale.diverging.neg-03|viz.scale.diverging.neg-02|viz.scale.diverging.neg-01|viz.scale.diverging.neutral|viz.scale.diverging.pos-01|viz.scale.diverging.pos-02|viz.scale.diverging.pos-03|viz.scale.diverging.pos-04|viz.scale.diverging.pos-05
B_base_surface.interactive.primary_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.surface.interactive.primary
B_base_accent_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.accent
B_base_status.info_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.status.info
B_base_status.success_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.status.success
B_base_status.warning_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.status.warning
B_base_status.critical_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.status.critical
B_base_status.neutral_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/base.json,color.brand.B.status.neutral
B_base_gamut,,,,,,,,,,,,,,gamut,packages/tokens/src/tokens/brands/B/base.json,color.brand.B
B_dark_surface.interactive.primary_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.surface.interactive.primary
B_dark_accent_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.accent
B_dark_status.info_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.status.info
B_dark_status.success_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.status.success
B_dark_status.warning_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.status.warning
B_dark_status.critical_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.status.critical
B_dark_status.neutral_hue,,,,,,,,,,,,,,family-hue,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B.status.neutral
B_dark_gamut,,,,,,,,,,,,,,gamut,packages/tokens/src/tokens/brands/B/dark.json,color.brand.B
B_dark_sequential,,,,,,,,,,,,,,dark-coverage,packages/tokens/src/tokens/brands/B/dark.json,viz.scale.sequential.01|viz.scale.sequential.02|viz.scale.sequential.03|viz.scale.sequential.04|viz.scale.sequential.05|viz.scale.sequential.06|viz.scale.sequential.07|viz.scale.sequential.08|viz.scale.sequential.09
B_dark_diverging,,,,,,,,,,,,,,dark-coverage,packages/tokens/src/tokens/brands/B/dark.json,viz.scale.diverging.neg-05|viz.scale.diverging.neg-04|viz.scale.diverging.neg-03|viz.scale.diverging.neg-02|viz.scale.diverging.neg-01|viz.scale.diverging.neutral|viz.scale.diverging.pos-01|viz.scale.diverging.pos-02|viz.scale.diverging.pos-03|viz.scale.diverging.pos-04|viz.scale.diverging.pos-05
